"Date","Price","Open","High","Low","Vol.","Change %"
"25-01-2024","52.95","52.95","53.15","52.85","40.34K","-0.19%"
"24-01-2024","53.05","53.25","53.25","52.95","62.90K","-0.38%"
"23-01-2024","53.25","53.10","53.30","52.90","71.79K","0.47%"
"20-01-2024","53.00","53.15","53.25","52.95","44.34K","0.00%"
"19-01-2024","53.00","52.85","53.15","52.80","133.26K","0.28%"
"18-01-2024","52.85","52.70","52.90","52.45","49.28K","-0.09%"
"17-01-2024","52.90","53.15","53.20","52.80","57.79K","-0.66%"
"16-01-2024","53.25","53.50","53.55","53.20","47.44K","-0.47%"
"15-01-2024","53.50","53.70","53.70","53.35","78.30K","0.38%"
"12-01-2024","53.30","53.60","53.60","52.95","84.44K","0.57%"
"11-01-2024","53.00","53.60","53.60","52.90","26.34K","-0.47%"
"10-01-2024","53.25","53.30","53.30","53.00","87.16K","0.00%"
"09-01-2024","53.25","53.25","53.30","53.05","30.81K","0.28%"
"08-01-2024","53.10","53.40","53.65","53.00","572.86K","-0.56%"
"05-01-2024","53.40","53.75","53.80","53.25","122.11K","-0.37%"
"04-01-2024","53.60","53.75","53.75","53.25","89.93K","-0.28%"
"03-01-2024","53.75","54.00","54.10","53.65","68.82K","-0.65%"
"02-01-2024","54.10","54.10","54.20","54.00","81.85K","0.19%"
"01-01-2024","54.00","53.95","54.05","53.50","82.01K","0.28%"
"29-12-2023","53.85","53.95","54.15","53.55","67.96K","-0.28%"
"28-12-2023","54.00","54.00","54.50","53.95","156.65K","0.47%"
"27-12-2023","53.75","53.60","53.90","53.45","69.99K","0.28%"
"26-12-2023","53.60","53.90","53.90","53.50","122.53K","0.47%"
"22-12-2023","53.35","54.65","54.65","53.15","120.19K","0.57%"
"21-12-2023","53.05","53.10","53.20","53.00","53.19K","0.00%"
"20-12-2023","53.05","53.20","53.25","53.00","119.94K","0.47%"
"19-12-2023","52.80","52.95","53.00","52.65","56.14K","0.00%"
"18-12-2023","52.80","52.70","52.85","52.55","125.01K","-0.38%"
"15-12-2023","53.00","53.10","53.25","52.95","52.95K","-0.09%"
"14-12-2023","53.05","53.20","53.20","52.55","87.52K","1.92%"
"13-12-2023","52.05","52.40","52.40","52.00","46.55K","-0.29%"
"12-12-2023","52.20","52.25","52.30","52.00","105.81K","-0.29%"
"11-12-2023","52.35","52.95","52.95","52.25","109.98K","-1.69%"
"08-12-2023","53.25","53.30","53.30","53.10","55.46K","0.28%"
"07-12-2023","53.10","52.60","53.40","52.60","208.91K","0.19%"
"06-12-2023","53.00","54.85","54.85","52.90","119.32K","-0.47%"
"05-12-2023","53.25","53.70","53.75","53.05","80.37K","-1.48%"
"04-12-2023","54.05","53.70","55.45","53.65","131.88K","1.12%"
"01-12-2023","53.45","53.65","53.65","53.20","71.07K","0.00%"
"30-11-2023","53.45","53.45","53.55","53.20","162.66K","0.19%"
"29-11-2023","53.35","53.00","53.40","52.95","110.92K","1.52%"
"28-11-2023","52.55","52.80","52.80","52.45","80.93K","0.48%"
"24-11-2023","52.30","52.25","52.40","52.15","46.06K","0.10%"
"23-11-2023","52.25","52.35","52.55","52.05","60.75K","-0.38%"
"22-11-2023","52.45","52.30","52.50","52.25","171.36K","0.48%"
"21-11-2023","52.20","52.35","52.55","52.05","52.64K","0.38%"
"20-11-2023","52.00","52.05","52.05","51.70","77.98K","-0.10%"
"17-11-2023","52.05","52.95","52.95","51.70","114.27K","1.17%"
"16-11-2023","51.45","51.70","51.70","51.40","658.77K","-0.58%"
"15-11-2023","51.75","51.60","51.80","51.30","116.58K","1.37%"
"13-11-2023","51.05","51.70","51.70","51.00","95.31K","-0.58%"
"12-11-2023","51.35","54.50","54.50","51.25","129.96K","-0.29%"
"10-11-2023","51.50","51.50","52.80","51.40","156.40K","0.78%"
