Date,Price,Open,High,Low,Vol.,Change %
28-03-2024,56.8,56.7,56.95,56.5,98.84K,0.53%
01-04-2024,58.45,57.1,58.7,57.1,174.35K,2.90%
02-04-2024,58.6,59,59.1,58.35,98.70K,0.26%
03-04-2024,58.9,60,60,58.75,4.82M,0.51%
04-04-2024,59.25,59.85,59.9,59.1,4.08M,0.59%
05-04-2024,59.2,59.3,59.7,58.95,4.12M,-0.08%
08-04-2024,60.4,59.8,61,59.8,674.52K,2.03%
09-04-2024,60.85,60.6,61.05,60.4,2.07M,0.75%
10-04-2024,60.95,60.95,61.2,60.7,85.97K,0.16%
12-04-2024,62.2,61.25,62.3,61.25,188.75K,2.05%
15-04-2024,61.8,62.1,63.3,61.55,356.22K,-0.64%
16-04-2024,62.05,62.75,62.8,62,562.53K,0.40%
18-04-2024,62.3,62.4,62.4,62,2.82M,0.40%
19-04-2024,62.45,62.8,62.85,62.35,2.54M,0.24%
22-04-2024,62.1,62.45,62.65,61.65,182.84K,-0.56%
23-04-2024,60.9,61.5,61.5,60.1,179.32K,-1.93%
24-04-2024,60.9,61.15,61.65,60.85,217.87K,0.00%
25-04-2024,61.3,61.15,61.5,60.85,36.00K,0.66%
26-04-2024,61.9,60.9,61.9,60.9,97.33K,0.98%
29-04-2024,61.7,62.3,63.3,61.2,96.91K,-0.32%
30-04-2024,61.45,61.85,61.9,61.1,92.15K,-0.41%
02-05-2024,61.05,61.1,61.95,60.9,110.46K,-0.65%
03-05-2024,60.75,61.35,61.35,60.55,84.94K,-0.49%
06-05-2024,60.95,60.55,61.35,60.35,110.66K,0.33%
07-05-2024,61,60.9,61.35,60.75,49.69K,0.08%
08-05-2024,60.9,61.2,61.25,60.55,49.97K,-0.16%
09-05-2024,60.95,61.15,61.2,60.65,55.15K,0.08%
10-05-2024,62.25,61.95,62.4,61.5,165.45K,2.13%
13-05-2024,61.35,62.25,62.5,61.3,107.73K,-1.45%
14-05-2024,61.45,61.75,61.75,61.35,65.40K,0.16%
15-05-2024,62.25,62,62.3,61.5,1.10M,1.30%
16-05-2024,62.65,62.5,63.1,62.35,133.47K,0.64%
17-05-2024,62.4,64.55,64.55,62.35,1.06M,-0.40%
21-05-2024,63.1,63.25,63.45,62.8,158.52K,1.12%
22-05-2024,63.05,63.45,63.45,62.8,53.45K,-0.08%
23-05-2024,62.7,62.55,63.95,61.65,275.58K,-0.56%
24-05-2024,61.45,62.45,62.45,61.25,1.30M,-1.99%
27-05-2024,61.55,63.3,63.3,61.1,197.88K,0.16%
28-05-2024,61.55,62.05,62.05,61.35,1.06M,0.00%
29-05-2024,61.6,62.15,62.15,61.45,81.08K,0.08%
30-05-2024,61.3,61.65,61.65,61.1,1.03M,-0.49%
31-05-2024,61.6,61.5,61.7,61.2,61.78K,0.49%
03-06-2024,61.1,61.4,61.75,60.8,111.14K,-0.81%
04-06-2024,61.35,61.85,61.85,61.1,115.99K,0.41%
05-06-2024,61.1,60.6,61.55,60.6,76.64K,-0.41%
06-06-2024,61.95,62,62.3,61.5,97.53K,1.39%
07-06-2024,61.55,61.6,62.5,61.4,1.14M,-0.65%
10-06-2024,60.65,61.2,61.25,60.1,227.23K,-1.46%
11-06-2024,60.8,60.65,61.15,60.5,50.73K,0.25%
12-06-2024,61.1,61.15,61.2,60.85,101.23K,0.49%
13-06-2024,61.1,61.3,61.3,60.8,92.98K,0.00%
14-06-2024,61.05,61.25,61.3,60.55,93.22K,-0.08%
18-06-2024,60.9,61.05,62.05,60.75,188.40K,-0.25%
19-06-2024,61.1,61.05,61.7,60.9,97.20K,0.33%
20-06-2024,61.5,61.7,61.75,60.95,49.40K,0.65%
21-06-2024,61.8,62.1,62.1,61.65,104.40K,0.49%
24-06-2024,61.15,61.6,61.6,61,118.78K,-1.05%
25-06-2024,61,61.25,61.3,60.9,56.54K,-0.25%
26-06-2024,60.95,60.95,61.2,60.75,39.41K,-0.08%
27-06-2024,60.65,60.9,60.9,60.5,54.62K,-0.49%
28-06-2024,61,61.2,61.45,60.7,84.66K,0.58%
01-07-2024,61.25,61.25,61.3,60.75,102.63K,0.41%
02-07-2024,61.15,61.3,61.3,60.8,71.76K,-0.16%
03-07-2024,61.65,61.15,61.65,61.05,105.52K,0.82%
04-07-2024,61.85,61.75,62,61.55,145.97K,0.32%
05-07-2024,61.95,61.9,62.05,61.6,71.32K,0.16%
08-07-2024,62.15,62.2,62.6,61.9,136.17K,0.32%
09-07-2024,62,62.15,62.2,61.65,67.53K,-0.24%
10-07-2024,62.1,62.25,62.25,61.75,100.66K,0.16%
11-07-2024,62.2,62.25,62.4,61.95,168.86K,0.16%
12-07-2024,62.4,62.8,63.25,62.2,173.70K,0.32%
15-07-2024,62.55,62.65,62.95,62.3,183.72K,0.24%
16-07-2024,62.95,62.6,63,62.6,170.81K,0.64%
18-07-2024,63.4,63.5,63.65,63.15,148.88K,0.71%
19-07-2024,63,63.25,63.25,62.85,69.66K,-0.63%
22-07-2024,62.9,63,63.4,62.75,161.41K,-0.16%
23-07-2024,60.7,63,63,59.75,359.72K,-3.50%
24-07-2024,60.05,60.7,61.95,59.55,302.66K,-1.07%
25-07-2024,61.35,59.85,61.7,58.9,91.22K,2.16%
26-07-2024,60.65,61.05,61.95,60.15,199.79K,-1.14%
29-07-2024,59.7,60.8,63.9,59.2,342.58K,-1.57%
30-07-2024,59.25,60.65,60.7,58.65,275.04K,-0.75%
31-07-2024,59.15,59.9,60.45,59,303.16K,-0.17%
01-08-2024,59.35,59.95,60,59.3,423.02K,0.34%
02-08-2024,60.1,60.6,60.6,59.5,228.43K,1.26%
05-08-2024,59.45,60.3,60.5,59.2,510.74K,-1.08%
06-08-2024,59.8,59.65,60,58.55,229.46K,0.59%
07-08-2024,59.1,59.8,59.8,58.65,787.96K,-1.17%
08-08-2024,58.65,59.3,59.35,58.6,293.26K,-0.76%
09-08-2024,58.95,60,60.2,58.9,82.60K,0.51%
12-08-2024,59.55,59.4,59.7,58.7,344.69K,1.02%
13-08-2024,59.8,60.2,60.2,59.65,130.51K,0.42%
14-08-2024,60,60.3,60.3,59.65,68.91K,0.33%
16-08-2024,59.9,60,60,59.35,221.97K,-0.17%
19-08-2024,60.85,60.1,61.1,60.1,239.86K,1.59%
20-08-2024,61.1,60.55,61.25,60.35,170.19K,0.41%
21-08-2024,61,60.8,61.2,60.8,135.55K,-0.16%
22-08-2024,60.9,61.15,61.15,60.75,68.27K,-0.16%
23-08-2024,60.7,60.75,61,60.35,148.34K,-0.33%
26-08-2024,61.2,60.85,61.3,60.8,216.66K,0.82%
27-08-2024,61,61.3,61.3,60.8,147.52K,-0.33%
28-08-2024,61,61.25,61.25,60.8,62.40K,0.00%
29-08-2024,61.1,61.3,61.3,60.9,59.79K,0.16%
30-08-2024,61.25,61.2,61.25,60.75,202.09K,0.25%
02-09-2024,60.95,61.1,61.1,60.3,273.11K,-0.49%
03-09-2024,60.9,61,61.15,60.65,137.03K,-0.08%
04-09-2024,60.45,60.95,60.95,60.15,153.27K,-0.74%
05-09-2024,60.9,60.8,61.05,60.55,117.12K,0.74%
06-09-2024,60.9,61.4,61.4,60.8,47.74K,0.00%
09-09-2024,60.7,60.3,60.9,60.3,154.78K,-0.33%
10-09-2024,60.75,60.75,60.95,60.6,77.59K,0.08%
11-09-2024,61.15,61.15,61.2,60.65,90.58K,0.66%
